Date,Adj Close,Volume,Symbol
2011-02-02,173.52999877929688,4547500,AMZN
2011-02-03,173.7100067138672,3678900,AMZN
2011-02-04,175.92999267578125,4347800,AMZN
2011-02-07,176.42999267578125,5254700,AMZN
2011-02-08,183.05999755859375,7794900,AMZN
2011-02-09,185.3000030517578,8312700,AMZN
2011-02-10,186.2100067138672,5331400,AMZN
2011-02-11,189.25,4487900,AMZN
2011-02-14,190.4199981689453,4061300,AMZN
2011-02-15,189.02999877929688,3890900,AMZN
2011-02-16,186.6199951171875,4628200,AMZN
2011-02-17,187.75999450683594,3425500,AMZN
2011-02-18,186.5,4178600,AMZN
2011-02-22,180.4199981689453,5637100,AMZN
2011-02-23,176.67999267578125,5482000,AMZN
2011-02-24,177.75,4656500,AMZN
2011-02-25,177.24000549316406,4191400,AMZN
2011-02-28,173.2899932861328,6783200,AMZN
2011-03-01,169.44000244140625,5847100,AMZN
2011-03-02,172.02000427246094,5185700,AMZN
2011-03-03,172.7899932861328,4138200,AMZN
2011-03-04,171.6699981689453,4924300,AMZN
2011-03-07,169.0800018310547,5932900,AMZN
2011-03-08,166.88999938964844,4219000,AMZN
2011-03-09,169.0500030517578,7108900,AMZN
2011-03-10,166.13999938964844,5998400,AMZN
2011-03-11,168.07000732421875,4609900,AMZN
2011-03-14,166.72999572753906,4022000,AMZN
2011-03-15,165.0800018310547,4934500,AMZN
2011-03-16,164.6999969482422,5208100,AMZN
2011-03-17,160.97000122070312,6471400,AMZN
2011-03-18,161.82000732421875,7442700,AMZN
2011-03-21,164.52000427246094,4055100,AMZN
2011-03-22,162.60000610351562,3611400,AMZN
2011-03-23,165.32000732421875,4721300,AMZN
2011-03-24,171.10000610351562,6283200,AMZN
2011-03-25,170.97999572753906,4293800,AMZN
2011-03-28,169.35000610351562,3400800,AMZN
2011-03-29,174.6199951171875,4884600,AMZN
2011-03-30,179.4199981689453,6859300,AMZN
2011-03-31,180.1300048828125,4826500,AMZN
2011-04-01,180.1300048828125,5684100,AMZN
2011-04-04,182.94000244140625,4186400,AMZN
2011-04-05,185.2899932861328,5569200,AMZN
2011-04-06,182.75999450683594,5430700,AMZN
2011-04-07,184.91000366210938,4564000,AMZN
2011-04-08,184.7100067138672,3726400,AMZN
2011-04-11,184.0399932861328,3297100,AMZN
2011-04-12,180.47999572753906,5334500,AMZN
2011-04-13,182.2899932861328,4216300,AMZN
2011-04-14,181.82000732421875,3588200,AMZN
2011-04-15,180.00999450683594,4272400,AMZN
2011-04-18,178.33999633789062,4616500,AMZN
2011-04-19,178.82000732421875,2646000,AMZN
2011-04-20,183.8699951171875,4067500,AMZN
2011-04-21,185.88999938964844,3348100,AMZN
2011-04-25,185.4199981689453,3438100,AMZN
2011-04-26,182.3000030517578,11200000,AMZN
2011-04-27,196.6300048828125,23623000,AMZN
2011-04-28,195.07000732421875,7300000,AMZN
2011-04-29,195.80999755859375,6640900,AMZN
2011-05-02,201.19000244140625,9398100,AMZN
2011-05-03,198.4499969482422,6100000,AMZN
2011-05-04,199.97000122070312,6550000,AMZN
2011-05-05,197.11000061035156,4600000,AMZN
2011-05-06,197.60000610351562,4013900,AMZN
2011-05-09,200.8000030517578,5825400,AMZN
2011-05-10,203.94000244140625,5885900,AMZN
2011-05-11,204.3800048828125,4809000,AMZN
2011-05-12,206.07000732421875,4800000,AMZN
2011-05-13,202.55999755859375,4123700,AMZN
2011-05-16,192.50999450683594,9386400,AMZN
2011-05-17,194.80999755859375,7073300,AMZN
2011-05-18,197.08999633789062,4955800,AMZN
2011-05-19,198.8000030517578,3701200,AMZN
2011-05-20,198.64999389648438,3381000,AMZN
2011-05-23,196.22000122070312,4200000,AMZN
2011-05-24,193.27000427246094,2972700,AMZN
2011-05-25,192.25999450683594,4661300,AMZN
2011-05-26,195.0,4075200,AMZN
2011-05-27,194.1300048828125,2352600,AMZN
2011-05-31,196.69000244140625,3409000,AMZN
2011-06-01,192.39999389648438,3445200,AMZN
2011-06-02,193.64999389648438,3044900,AMZN
2011-06-03,188.32000732421875,4974500,AMZN
2011-06-06,185.69000244140625,3716000,AMZN
2011-06-07,187.5500030517578,4866500,AMZN
2011-06-08,188.0500030517578,3716600,AMZN
2011-06-09,189.67999267578125,4187300,AMZN
2011-06-10,186.52999877929688,3760400,AMZN
2011-06-13,186.2899932861328,3868900,AMZN
2011-06-14,189.9600067138672,3960300,AMZN
2011-06-15,185.97999572753906,6317700,AMZN
2011-06-16,183.64999389648438,6032100,AMZN
2011-06-17,186.3699951171875,6322200,AMZN
2011-06-20,187.72000122070312,2831700,AMZN
